"Work Item Type","Title 1","Title 2","Title 3","Description","Priority","Tags"
"User Story","","","US-109: Submit customer enquiries and callback requests by email","<p>Local ID: US-109. Source status: Done. Parent: EPIC-01.</p><p>As a customer, I want to submit my name, email, phone number and message so that LWK can reply or call me back.</p><p><strong>Acceptance criteria</strong></p><ul><li>The visible contact email and email link use lwe16sa@gmail.com.</li><li>The form requires a name, valid email, phone number and message.</li><li>Send Now submits the enquiry through FormSubmit for delivery to lwe16sa@gmail.com without opening the customer's email app or WhatsApp.</li><li>The page shows sending, success and error states and prevents duplicate submissions while a request is pending.</li><li>Failed submissions retain the customer's details for retry.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Update the email address and replace the email-draft flow with direct form submission.</li><li>Completed: Restore Send Now and add the phone field, validation and status feedback.</li><li>Completed: Verify submission payload, success/error handling and responsive overflow with mocked requests.</li><li>Completed: Business owner confirmed the reported submission issue is resolved on 2026-09-21. Live delivery was not independently retested by the agent.</li></ul>","2","lwk-backlog; US-109; EPIC-01; source-status-done"
"Epic","EPIC-02: Product Images and Variant Mapping","","","<p>Source: BACKLOG.md</p><p>Source status: In Progress</p><p>Contains: US-201, US-202, US-203, US-204. Status is derived from its stories.</p>","2","lwk-backlog; EPIC-02; source-status-in-progress"
"Feature","","FEAT-02: Product Images and Variant Mapping","","<p>Source: BACKLOG.md</p><p>Source status: In Progress</p><p>Contains: US-201, US-202, US-203, US-204. Status is derived from its stories.</p><p>Grouping feature for the standard Azure Agile hierarchy. No additional implementation scope.</p>","2","lwk-backlog; EPIC-02; source-status-in-progress"
"User Story","","","US-201: Display correct product images by color","<p>Local ID: US-201. Source status: In Progress. Parent: EPIC-02.</p><p>As a shopper, I want the product image to change to the selected color so that I can see what I am buying.</p><p><strong>Acceptance criteria</strong></p><ul><li>T-shirt, golfer, hoodie, crewneck, sweatpants, shorts, tracksuit, beanie, bucket-hat, and cap color mappings use existing asset filenames.</li><li>The default golfer image loads without a broken-image state.</li><li>Royal Blue is removed from the golfer color selector.</li><li>Beanie mappings use the current `.jpg` assets for Grey and Pink Lone Wolf Emblem variants.</li><li>Bucket hats and beanies retain their dedicated image datasets when a design changes.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Correct stale Grey and Pink Lone Wolf Emblem beanie paths in the page and design mapping.</li><li>Completed: Prevent the generic T-shirt/Golfer design handler from overwriting bucket-hat and beanie mappings.</li><li>Completed: Update crewneck, hoodie, sweatpants, and shorts paths and swatches for the renamed and added assets.</li><li>Audit every `data-img` and `data-variants` path against the filesystem.</li><li>Replace remaining stale filenames or incorrect extensions.</li><li>Test every color/design combination on each product page.</li></ul>","2","lwk-backlog; US-201; EPIC-02; source-status-in-progress"
"User Story","","","US-202: Support multiple image variants for a color","<p>Local ID: US-202. Source status: Done. Parent: EPIC-02.</p><p>As a shopper, I want to view multiple product angles for a color so that I can inspect the item before ordering.</p><p><strong>Acceptance criteria</strong></p><ul><li>Products with multiple assets show previous/next controls.</li><li>Variant navigation updates the displayed image.</li><li>Variant indicators identify the current image.</li><li>Switching color resets the variant navigation to the selected color's first image.</li><li>6-Panel Cap Typography variants pair Typography front views with Wolf Head side views; Wolf Head variants use the inverse pairing where matching assets exist.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Remove the duplicate cap design handler so cap variant navigation is not overwritten after a design switch.</li><li>Test previous and next controls on all multi-image products.</li><li>Confirm controls do not trigger product-card or swatch clicks.</li><li>Confirm all variant images exist.</li></ul>","2","lwk-backlog; US-202; EPIC-02; source-status-done"
"User Story","","","US-203: Add visual product galleries","<p>Local ID: US-203. Source status: In Progress. Parent: EPIC-02.</p><p>As a shopper, I want a product gallery beside the purchase card so that the catalogue feels easier to inspect.</p><p><strong>Acceptance criteria</strong></p><ul><li>Golfers use matching left and right portrait frames around the center product card.</li><li>The Golfer frames use the Lone Wolf Typography and Lone Wolf Emblem model images.</li><li>Tracksuits retain the left gallery, center product card, and right portrait frame composition.</li><li>The Tracksuits right frame uses the Lone Wolf Emblem model image.</li><li>Existing product controls remain functional.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Replace the Golfer left thumbnail gallery with a matching single portrait frame.</li><li>Completed: Update the Tracksuits model images for the left and right galleries.</li><li>Validate the golfers and tracksuits galleries against the approved reference screenshot.</li><li>Completed: Keep T-Shirts &amp; Vests and Crews &amp; Hoodies focused on their product grids; remove the empty lifestyle placeholders.</li><li>Add thumbnail click behavior if thumbnails are intended to control the main image.</li></ul>","3","lwk-backlog; US-203; EPIC-02; source-status-in-progress"
"User Story","","","US-204: Add collection context and related navigation","<p>Local ID: US-204. Source status: Done. Parent: EPIC-02.</p><p>As a shopper, I want a short collection description and a relevant next category after browsing products.</p><p><strong>Acceptance criteria</strong></p><ul><li>The selected multi-product category pages have copy that describes the products shown.</li><li>Their related collection links lead to existing category pages.</li><li>The text and links do not crowd product cards on small screens.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Add collection statements and related collection navigation to the selected multi-product pages.</li><li>Verify layout and link destinations across viewport sizes.</li></ul>","3","lwk-backlog; US-204; EPIC-02; source-status-done"
"Epic","EPIC-03: Design Type and Pricing Selection","","","<p>Source: BACKLOG.md</p><p>Source status: In Progress</p><p>Contains: US-301, US-302, US-303. Status is derived from its stories.</p>","2","lwk-backlog; EPIC-03; source-status-in-progress"
"Feature","","FEAT-03: Design Type and Pricing Selection","","<p>Source: BACKLOG.md</p><p>Source status: In Progress</p><p>Contains: US-301, US-302, US-303. Status is derived from its stories.</p><p>Grouping feature for the standard Azure Agile hierarchy. No additional implementation scope.</p>","2","lwk-backlog; EPIC-03; source-status-in-progress"
"User Story","","","US-301: Select design type on apparel products","<p>Local ID: US-301. Source status: Done. Parent: EPIC-03.</p><p>As a shopper, I want to choose a design type so that I can order the artwork style I prefer.</p><p><strong>Acceptance criteria</strong></p><ul><li>T-shirts support Large Print and Pocket Size emblem options plus the other supported designs.</li><li>Hoodies and crewnecks support Large Print and Pocket Size emblem options plus the other supported designs.</li><li>Golfers support the available emblem/design options.</li><li>Design selectors update the corresponding color/image mappings.</li><li>Visible selector labels use `Select Design:`.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Update static and dynamically created visible labels from `Design:` to `Select Design:`.</li><li>Verify selector labels exactly match the product requirements.</li><li>Test changing design after changing color.</li><li>Confirm the selected design never leaves stale image variants in the palette.</li></ul>","2","lwk-backlog; US-301; EPIC-03; source-status-done"
"User Story","","","US-302: Calculate price from design selection","<p>Local ID: US-302. Source status: In Progress. Parent: EPIC-03.</p><p>As a shopper, I want the price to update when I select a different design type so that I know the correct total before adding to cart.</p><p><strong>Acceptance criteria</strong></p><ul><li>Large Print and Pocket Size selections show their configured prices.</li><li>Price changes immediately after selection.</li><li>The selected price is the price sent to the cart flow.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Confirm prices for every product category with the business owner.</li><li>Completed: Implement price updates for the existing design selectors.</li><li>Test price changes after repeated design and color changes.</li><li>Add automated checks for selector-to-price behavior.</li></ul>","2","lwk-backlog; US-302; EPIC-03; source-status-in-progress"
"User Story","","","US-303: Keep color selectors synchronized with design type","<p>Local ID: US-303. Source status: Done. Parent: EPIC-03.</p><p>As a shopper, I want only valid colors and images for the selected design type so that I cannot select an invalid combination.</p><p><strong>Acceptance criteria</strong></p><ul><li>Changing design rebuilds or updates the correct color palette.</li><li>The first valid color is selected after a design change.</li><li>The product image updates to the selected design and color.</li><li>Headwear design changes retain bucket-hat, beanie, or cap image mappings rather than falling back to the T-shirt dataset.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Isolate the dedicated bucket-hat, beanie, and cap design handlers from the generic T-shirt/Golfer handler.</li><li>Test all design selectors on T-shirts, hoodies, crewnecks, golfers, beanies, bucket hats, caps, and tracksuits.</li><li>Verify no stale swatches remain after a design change.</li><li>Verify missing mappings fail gracefully.</li></ul>","2","lwk-backlog; US-303; EPIC-03; source-status-done"
"Epic","EPIC-04: Swatch Interaction and Product Controls","","","<p>Source: BACKLOG.md</p><p>Source status: Done</p><p>Contains: US-401, US-402, US-403. Status is derived from its stories.</p>","2","lwk-backlog; EPIC-04; source-status-done"
"Feature","","FEAT-04: Swatch Interaction and Product Controls","","<p>Source: BACKLOG.md</p><p>Source status: Done</p><p>Contains: US-401, US-402, US-403. Status is derived from its stories.</p><p>Grouping feature for the standard Azure Agile hierarchy. No additional implementation scope.</p>","2","lwk-backlog; EPIC-04; source-status-done"
"User Story","","","US-401: Show active color selection","<p>Local ID: US-401. Source status: Done. Parent: EPIC-04.</p><p>As a shopper, I want to see which color is selected so that I understand the current product configuration.</p><p><strong>Acceptance criteria</strong></p><ul><li>The initial color swatch is visibly selected.</li><li>Clicking a swatch removes the active state from sibling swatches.</li><li>The selected state works on clothing and accessory pages.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Regression-test static and dynamically-created palettes.</li><li>Confirm both `selected` and `selected-color` class paths remain synchronized.</li></ul>","2","lwk-backlog; US-401; EPIC-04; source-status-done"
"User Story","","","US-402: Show hover feedback on color swatches","<p>Local ID: US-402. Source status: Done. Parent: EPIC-04.</p><p>As a shopper, I want hover feedback on swatches so that I know they are interactive.</p><p><strong>Acceptance criteria</strong></p><ul><li>Hovering a swatch changes its scale and visual ring.</li><li>Hover feedback is visible against light and dark swatches.</li><li>Styling is applied on T-shirts, golfers, crewnecks, hoodies, sweatpants, shorts, beanies, bucket hats, and 6-panel caps.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Check hover behavior with a mouse on desktop.</li><li>Check focus behavior with a keyboard.</li><li>Ensure the ring does not cause layout shifts or overlap neighboring controls.</li></ul>","3","lwk-backlog; US-402; EPIC-04; source-status-done"
"User Story","","","US-403: Configure size and quantity","<p>Local ID: US-403. Source status: Done. Parent: EPIC-04.</p><p>As a shopper, I want to choose size and quantity so that I can order the correct item.</p><p><strong>Acceptance criteria</strong></p><ul><li>Product cards expose the supported sizes.</li><li>Quantity supports the configured range.</li><li>Selected size and quantity are included in the cart payload.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Verify size options per product category.</li><li>Verify quantity validation and cart output.</li><li>Add a user-visible message for invalid or missing selections.</li></ul>","2","lwk-backlog; US-403; EPIC-04; source-status-done"
"Epic","EPIC-05: Cart and Ordering","","","<p>Source: BACKLOG.md</p><p>Source status: In Progress</p><p>Contains: US-501, US-502, US-503. Status is derived from its stories.</p>","1","lwk-backlog; EPIC-05; source-status-in-progress"
"Feature","","FEAT-05: Cart and Ordering","","<p>Source: BACKLOG.md</p><p>Source status: In Progress</p><p>Contains: US-501, US-502, US-503. Status is derived from its stories.</p><p>Grouping feature for the standard Azure Agile hierarchy. No additional implementation scope.</p>","1","lwk-backlog; EPIC-05; source-status-in-progress"
"User Story","","","US-501: Add a configured product to cart","<p>Local ID: US-501. Source status: In Progress. Parent: EPIC-05.</p><p>As a shopper, I want to add my configured product to the cart so that I can place an order.</p><p><strong>Acceptance criteria</strong></p><ul><li>Add to Cart captures product, design, color, size, quantity, image, and price.</li><li>The cart action works for every product category.</li><li>The shopper receives confirmation after adding an item.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Audit `javascript-files/shop-tools.js` for every product type.</li><li>Test cart payloads after changing design, color, size, and quantity.</li><li>Completed: Add cart item count and cart summary UI.</li><li>Prevent adding products with invalid or missing data.</li></ul>","1","lwk-backlog; US-501; EPIC-05; source-status-in-progress"
"User Story","","","US-502: Complete the WhatsApp ordering flow","<p>Local ID: US-502. Source status: In Progress. Parent: EPIC-05.</p><p>As a shopper, I want to send my cart through the configured ordering channel so that I can complete my purchase.</p><p><strong>Acceptance criteria</strong></p><ul><li>The generated message contains all selected product details.</li><li>Prices and quantities are correct.</li><li>The ordering link works on desktop and mobile.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Configure the ordering destination as +27 61 581 6059.</li><li>Completed: Encode product data safely in the outgoing message.</li><li>Test the flow on supported browsers and mobile devices.</li><li>Add an error state when the ordering action cannot open.</li></ul>","1","lwk-backlog; US-502; EPIC-05; source-status-in-progress"
"User Story","","","US-503: Persist cart items between page visits","<p>Local ID: US-503. Source status: In Progress. Parent: EPIC-05.</p><p>As a shopper, I want my cart to persist while I browse so that I do not lose selected items.</p><p><strong>Acceptance criteria</strong></p><ul><li>Cart data survives navigation and page refresh.</li><li>Items can be removed and quantities can be changed.</li><li>Opening WhatsApp does not clear the cart because the site cannot confirm whether an order was sent; items remain until the shopper removes them.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Persist the cart in localStorage with a defined data schema.</li><li>Completed: Build cart summary, quantity editing and removal controls.</li><li>Completed: Validate stored cart data before restoring it.</li><li>Verify persistence across navigation and refresh, malformed storage, and quantity changes in supported browsers.</li></ul>","2","lwk-backlog; US-503; EPIC-05; source-status-in-progress"
"Epic","EPIC-06: Quality, Accessibility, and Release Readiness","","","<p>Source: BACKLOG.md</p><p>Source status: In Progress</p><p>Contains: US-601, US-602, US-603, US-604. Status is derived from its stories.</p>","2","lwk-backlog; EPIC-06; source-status-in-progress"
"Feature","","FEAT-06: Quality, Accessibility, and Release Readiness","","<p>Source: BACKLOG.md</p><p>Source status: In Progress</p><p>Contains: US-601, US-602, US-603, US-604. Status is derived from its stories.</p><p>Grouping feature for the standard Azure Agile hierarchy. No additional implementation scope.</p>","2","lwk-backlog; EPIC-06; source-status-in-progress"
"User Story","","","US-601: Verify responsive layouts","<p>Local ID: US-601. Source status: In Progress. Parent: EPIC-06.</p><p>As a shopper, I want the website to work on desktop, tablet, and mobile screens so that I can shop from any device.</p><p><strong>Acceptance criteria</strong></p><ul><li>No horizontal overflow at supported viewport sizes.</li><li>Product cards and galleries remain usable on mobile.</li><li>Navigation, selectors, and buttons remain accessible at touch sizes.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Test all pages at desktop, tablet, and mobile viewport sizes.</li><li>Fix layout overflow and overlapping text.</li><li>Verify the compact homepage mobile menu exposes every main product category.</li><li>Confirm golfer and tracksuit galleries collapse appropriately on mobile.</li><li>Capture regression screenshots for key pages.</li></ul>","2","lwk-backlog; US-601; EPIC-06; source-status-in-progress"
"User Story","","","US-602: Improve semantic accessibility","<p>Local ID: US-602. Source status: To Do. Parent: EPIC-06.</p><p>As a keyboard or assistive-technology user, I want product controls to be understandable and operable.</p><p><strong>Acceptance criteria</strong></p><ul><li>All interactive controls have accessible names.</li><li>Color choices have accessible labels or text alternatives.</li><li>Keyboard focus is visible.</li><li>Heading hierarchy is logical on every page.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Add `aria-label` or visible labels to swatches and thumbnail controls.</li><li>Replace non-semantic clickable spans where appropriate.</li><li>Test keyboard navigation and focus order.</li><li>Run an accessibility audit.</li></ul>","2","lwk-backlog; US-602; EPIC-06; source-status-to-do"
"User Story","","","US-603: Establish automated regression tests","<p>Local ID: US-603. Source status: In Progress. Parent: EPIC-06.</p><p>As a maintainer, I want automated checks so that image mappings, selectors, and cart behavior do not regress.</p><p><strong>Acceptance criteria</strong></p><ul><li>Tests cover page loading and missing assets.</li><li>Tests cover design, color, price, size, and quantity changes.</li><li>Tests cover add-to-cart output.</li><li>Tests run from a documented command.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Completed: Add npm scripts `test:shop` and `test:filters` for the existing Playwright checks.</li><li>Create page smoke tests for all catalogue pages.</li><li>Add product configuration matrix tests.</li><li>Add screenshot tests for golfers and tracksuits.</li><li>Completed: Document test setup and execution in README.md.</li><li>Add repeatable contact-form success/error tests using mocked requests; prior checks were run during implementation.</li></ul>","2","lwk-backlog; US-603; EPIC-06; source-status-in-progress"
"User Story","","","US-604: Prepare the site for deployment","<p>Local ID: US-604. Source status: To Do. Parent: EPIC-06.</p><p>As the site owner, I want a repeatable deployment process so that updates can be released reliably.</p><p><strong>Acceptance criteria</strong></p><ul><li>All asset paths work from the production hosting root.</li><li>External font/icon dependencies are documented or bundled.</li><li>A deployment target and process are documented.</li><li>Broken links and missing assets are checked before release.</li></ul><p><strong>Tasks / verification</strong></p><ul><li>Decide on hosting and base-path strategy.</li><li>Normalize absolute and relative asset paths.</li><li>Add a pre-release link and asset check.</li><li>Document deployment steps in `README.md`.</li></ul>","3","lwk-backlog; US-604; EPIC-06; source-status-to-do"
