"Issue ID","Parent","Issue Type","Summary","Description","Status","Priority","Labels"
"2","","Epic","EPIC-02: Product Images and Variant Mapping","Source: BACKLOG.md
Source status: In Progress
Contains: US-201, US-202, US-203, US-204. Status is derived from its stories.","In Progress","High","lwk-backlog"
"1201","2","Story","US-201: Display correct product images by color","Local ID: US-201
Source status: In Progress
Parent: EPIC-02

As a shopper, I want the product image to change to the selected color so that I can see what I am buying.

Acceptance criteria:
- T-shirt, golfer, hoodie, crewneck, sweatpants, shorts, tracksuit, beanie, bucket-hat, and cap color mappings use existing asset filenames.
- The default golfer image loads without a broken-image state.
- Royal Blue is removed from the golfer color selector.
- Beanie mappings use the current `.jpg` assets for Grey and Pink Lone Wolf Emblem variants.
- Bucket hats and beanies retain their dedicated image datasets when a design changes.

Tasks / verification:
- Completed: Correct stale Grey and Pink Lone Wolf Emblem beanie paths in the page and design mapping.
- Completed: Prevent the generic T-shirt/Golfer design handler from overwriting bucket-hat and beanie mappings.
- Completed: Update crewneck, hoodie, sweatpants, and shorts paths and swatches for the renamed and added assets.
- Audit every `data-img` and `data-variants` path against the filesystem.
- Replace remaining stale filenames or incorrect extensions.
- Test every color/design combination on each product page.","In Progress","High","lwk-backlog"
"1202","2","Story","US-202: Support multiple image variants for a color","Local ID: US-202
Source status: Done
Parent: EPIC-02

As a shopper, I want to view multiple product angles for a color so that I can inspect the item before ordering.

Acceptance criteria:
- Products with multiple assets show previous/next controls.
- Variant navigation updates the displayed image.
- Variant indicators identify the current image.
- Switching color resets the variant navigation to the selected color's first image.
- 6-Panel Cap Typography variants pair Typography front views with Wolf Head side views; Wolf Head variants use the inverse pairing where matching assets exist.

Tasks / verification:
- Completed: Remove the duplicate cap design handler so cap variant navigation is not overwritten after a design switch.
- Test previous and next controls on all multi-image products.
- Confirm controls do not trigger product-card or swatch clicks.
- Confirm all variant images exist.","Done","High","lwk-backlog"
"1203","2","Story","US-203: Add visual product galleries","Local ID: US-203
Source status: In Progress
Parent: EPIC-02

As a shopper, I want a product gallery beside the purchase card so that the catalogue feels easier to inspect.

Acceptance criteria:
- Golfers use matching left and right portrait frames around the center product card.
- The Golfer frames use the Lone Wolf Typography and Lone Wolf Emblem model images.
- Tracksuits retain the left gallery, center product card, and right portrait frame composition.
- The Tracksuits right frame uses the Lone Wolf Emblem model image.
- Existing product controls remain functional.

Tasks / verification:
- Completed: Replace the Golfer left thumbnail gallery with a matching single portrait frame.
- Completed: Update the Tracksuits model images for the left and right galleries.
- Validate the golfers and tracksuits galleries against the approved reference screenshot.
- Completed: Keep T-Shirts & Vests and Crews & Hoodies focused on their product grids; remove the empty lifestyle placeholders.
- Add thumbnail click behavior if thumbnails are intended to control the main image.","In Progress","Medium","lwk-backlog"
"1204","2","Story","US-204: Add collection context and related navigation","Local ID: US-204
Source status: Done
Parent: EPIC-02

As a shopper, I want a short collection description and a relevant next category after browsing products.

Acceptance criteria:
- The selected multi-product category pages have copy that describes the products shown.
- Their related collection links lead to existing category pages.
- The text and links do not crowd product cards on small screens.

Tasks / verification:
- Completed: Add collection statements and related collection navigation to the selected multi-product pages.
- Verify layout and link destinations across viewport sizes.","Done","Medium","lwk-backlog"
"3","","Epic","EPIC-03: Design Type and Pricing Selection","Source: BACKLOG.md
Source status: In Progress
Contains: US-301, US-302, US-303. Status is derived from its stories.","In Progress","High","lwk-backlog"
"1301","3","Story","US-301: Select design type on apparel products","Local ID: US-301
Source status: Done
Parent: EPIC-03

As a shopper, I want to choose a design type so that I can order the artwork style I prefer.

Acceptance criteria:
- T-shirts support Large Print and Pocket Size emblem options plus the other supported designs.
- Hoodies and crewnecks support Large Print and Pocket Size emblem options plus the other supported designs.
- Golfers support the available emblem/design options.
- Design selectors update the corresponding color/image mappings.
- Visible selector labels use `Select Design:`.

Tasks / verification:
- Completed: Update static and dynamically created visible labels from `Design:` to `Select Design:`.
- Verify selector labels exactly match the product requirements.
- Test changing design after changing color.
- Confirm the selected design never leaves stale image variants in the palette.","Done","High","lwk-backlog"
"1302","3","Story","US-302: Calculate price from design selection","Local ID: US-302
Source status: In Progress
Parent: EPIC-03

As a shopper, I want the price to update when I select a different design type so that I know the correct total before adding to cart.

Acceptance criteria:
- Large Print and Pocket Size selections show their configured prices.
- Price changes immediately after selection.
- The selected price is the price sent to the cart flow.

Tasks / verification:
- Confirm prices for every product category with the business owner.
- Completed: Implement price updates for the existing design selectors.
- Test price changes after repeated design and color changes.
- Add automated checks for selector-to-price behavior.","In Progress","High","lwk-backlog"
"1303","3","Story","US-303: Keep color selectors synchronized with design type","Local ID: US-303
Source status: Done
Parent: EPIC-03

As a shopper, I want only valid colors and images for the selected design type so that I cannot select an invalid combination.

Acceptance criteria:
- Changing design rebuilds or updates the correct color palette.
- The first valid color is selected after a design change.
- The product image updates to the selected design and color.
- Headwear design changes retain bucket-hat, beanie, or cap image mappings rather than falling back to the T-shirt dataset.

Tasks / verification:
- Completed: Isolate the dedicated bucket-hat, beanie, and cap design handlers from the generic T-shirt/Golfer handler.
- Test all design selectors on T-shirts, hoodies, crewnecks, golfers, beanies, bucket hats, caps, and tracksuits.
- Verify no stale swatches remain after a design change.
- Verify missing mappings fail gracefully.","Done","High","lwk-backlog"
"4","","Epic","EPIC-04: Swatch Interaction and Product Controls","Source: BACKLOG.md
Source status: Done
Contains: US-401, US-402, US-403. Status is derived from its stories.","Done","High","lwk-backlog"
"1401","4","Story","US-401: Show active color selection","Local ID: US-401
Source status: Done
Parent: EPIC-04

As a shopper, I want to see which color is selected so that I understand the current product configuration.

Acceptance criteria:
- The initial color swatch is visibly selected.
- Clicking a swatch removes the active state from sibling swatches.
- The selected state works on clothing and accessory pages.

Tasks / verification:
- Regression-test static and dynamically-created palettes.
- Confirm both `selected` and `selected-color` class paths remain synchronized.","Done","High","lwk-backlog"
"1402","4","Story","US-402: Show hover feedback on color swatches","Local ID: US-402
Source status: Done
Parent: EPIC-04

As a shopper, I want hover feedback on swatches so that I know they are interactive.

Acceptance criteria:
- Hovering a swatch changes its scale and visual ring.
- Hover feedback is visible against light and dark swatches.
- Styling is applied on T-shirts, golfers, crewnecks, hoodies, sweatpants, shorts, beanies, bucket hats, and 6-panel caps.

Tasks / verification:
- Check hover behavior with a mouse on desktop.
- Check focus behavior with a keyboard.
- Ensure the ring does not cause layout shifts or overlap neighboring controls.","Done","Medium","lwk-backlog"
"1403","4","Story","US-403: Configure size and quantity","Local ID: US-403
Source status: Done
Parent: EPIC-04

As a shopper, I want to choose size and quantity so that I can order the correct item.

Acceptance criteria:
- Product cards expose the supported sizes.
- Quantity supports the configured range.
- Selected size and quantity are included in the cart payload.

Tasks / verification:
- Verify size options per product category.
- Verify quantity validation and cart output.
- Add a user-visible message for invalid or missing selections.","Done","High","lwk-backlog"
"5","","Epic","EPIC-05: Cart and Ordering","Source: BACKLOG.md
Source status: In Progress
Contains: US-501, US-502, US-503. Status is derived from its stories.","In Progress","Highest","lwk-backlog"
"1501","5","Story","US-501: Add a configured product to cart","Local ID: US-501
Source status: In Progress
Parent: EPIC-05

As a shopper, I want to add my configured product to the cart so that I can place an order.

Acceptance criteria:
- Add to Cart captures product, design, color, size, quantity, image, and price.
- The cart action works for every product category.
- The shopper receives confirmation after adding an item.

Tasks / verification:
- Audit `javascript-files/shop-tools.js` for every product type.
- Test cart payloads after changing design, color, size, and quantity.
- Completed: Add cart item count and cart summary UI.
- Prevent adding products with invalid or missing data.","In Progress","Highest","lwk-backlog"
"1502","5","Story","US-502: Complete the WhatsApp ordering flow","Local ID: US-502
Source status: In Progress
Parent: EPIC-05

As a shopper, I want to send my cart through the configured ordering channel so that I can complete my purchase.

Acceptance criteria:
- The generated message contains all selected product details.
- Prices and quantities are correct.
- The ordering link works on desktop and mobile.

Tasks / verification:
- Completed: Configure the ordering destination as +27 61 581 6059.
- Completed: Encode product data safely in the outgoing message.
- Test the flow on supported browsers and mobile devices.
- Add an error state when the ordering action cannot open.","In Progress","Highest","lwk-backlog"
"1503","5","Story","US-503: Persist cart items between page visits","Local ID: US-503
Source status: In Progress
Parent: EPIC-05

As a shopper, I want my cart to persist while I browse so that I do not lose selected items.

Acceptance criteria:
- Cart data survives navigation and page refresh.
- Items can be removed and quantities can be changed.
- Opening WhatsApp does not clear the cart because the site cannot confirm whether an order was sent; items remain until the shopper removes them.

Tasks / verification:
- Completed: Persist the cart in localStorage with a defined data schema.
- Completed: Build cart summary, quantity editing and removal controls.
- Completed: Validate stored cart data before restoring it.
- Verify persistence across navigation and refresh, malformed storage, and quantity changes in supported browsers.","In Progress","High","lwk-backlog"
"6","","Epic","EPIC-06: Quality, Accessibility, and Release Readiness","Source: BACKLOG.md
Source status: In Progress
Contains: US-601, US-602, US-603, US-604. Status is derived from its stories.","In Progress","High","lwk-backlog"
"1601","6","Story","US-601: Verify responsive layouts","Local ID: US-601
Source status: In Progress
Parent: EPIC-06

As a shopper, I want the website to work on desktop, tablet, and mobile screens so that I can shop from any device.

Acceptance criteria:
- No horizontal overflow at supported viewport sizes.
- Product cards and galleries remain usable on mobile.
- Navigation, selectors, and buttons remain accessible at touch sizes.

Tasks / verification:
- Test all pages at desktop, tablet, and mobile viewport sizes.
- Fix layout overflow and overlapping text.
- Verify the compact homepage mobile menu exposes every main product category.
- Confirm golfer and tracksuit galleries collapse appropriately on mobile.
- Capture regression screenshots for key pages.","In Progress","High","lwk-backlog"
"1602","6","Story","US-602: Improve semantic accessibility","Local ID: US-602
Source status: To Do
Parent: EPIC-06

As a keyboard or assistive-technology user, I want product controls to be understandable and operable.

Acceptance criteria:
- All interactive controls have accessible names.
- Color choices have accessible labels or text alternatives.
- Keyboard focus is visible.
- Heading hierarchy is logical on every page.

Tasks / verification:
- Add `aria-label` or visible labels to swatches and thumbnail controls.
- Replace non-semantic clickable spans where appropriate.
- Test keyboard navigation and focus order.
- Run an accessibility audit.","To Do","High","lwk-backlog"
"1603","6","Story","US-603: Establish automated regression tests","Local ID: US-603
Source status: In Progress
Parent: EPIC-06

As a maintainer, I want automated checks so that image mappings, selectors, and cart behavior do not regress.

Acceptance criteria:
- Tests cover page loading and missing assets.
- Tests cover design, color, price, size, and quantity changes.
- Tests cover add-to-cart output.
- Tests run from a documented command.

Tasks / verification:
- Completed: Add npm scripts `test:shop` and `test:filters` for the existing Playwright checks.
- Create page smoke tests for all catalogue pages.
- Add product configuration matrix tests.
- Add screenshot tests for golfers and tracksuits.
- Completed: Document test setup and execution in README.md.
- Add repeatable contact-form success/error tests using mocked requests; prior checks were run during implementation.","In Progress","High","lwk-backlog"
"1604","6","Story","US-604: Prepare the site for deployment","Local ID: US-604
Source status: To Do
Parent: EPIC-06

As the site owner, I want a repeatable deployment process so that updates can be released reliably.

Acceptance criteria:
- All asset paths work from the production hosting root.
- External font/icon dependencies are documented or bundled.
- A deployment target and process are documented.
- Broken links and missing assets are checked before release.

Tasks / verification:
- Decide on hosting and base-path strategy.
- Normalize absolute and relative asset paths.
- Add a pre-release link and asset check.
- Document deployment steps in `README.md`.","To Do","Medium","lwk-backlog"
